fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
245100101001,0,14,6,28,31,0,36,15,4,39,68,111,114,45,12,82
245100101002,35,0,8,33,0,15,0,0,9,28,70,54,116,47,4,39
245100101003,0,9,18,0,0,31,16,8,14,17,9,13,46,20,83,76
245100102001,25,0,13,0,51,0,32,46,25,12,64,63,63,11,9,0
245100102002,32,0,0,20,0,0,9,10,25,13,35,36,83,33,24,0
245100102003,13,38,0,33,10,0,9,0,0,33,40,64,98,33,32,59
245100102004,0,24,0,0,12,0,0,41,0,14,41,87,0,28,0,0
245100103001,33,7,0,0,23,0,0,14,8,30,70,36,20,57,74,43
245100103002,15,0,17,42,6,8,9,10,23,51,75,92,116,70,34,48
245100104001,0,6,27,0,15,38,0,25,36,24,63,32,42,29,26,28
245100104002,30,6,0,8,11,27,31,43,37,39,80,134,116,90,93,105
245100105001,13,4,20,0,6,9,9,7,25,31,24,38,41,44,55,70
245100105002,62,23,22,0,7,0,0,5,30,25,47,48,64,21,60,6
245100201001,10,11,0,16,5,0,9,0,14,10,18,36,58,8,44,38
245100201002,35,16,20,17,13,16,44,9,23,19,59,167,40,70,50,30
245100202001,8,10,0,0,22,26,29,38,7,31,44,73,14,7,33,0
245100202002,49,31,15,20,20,6,19,3,25,23,47,73,62,36,9,27
245100203001,110,62,31,16,0,0,43,0,0,23,126,91,32,80,25,0
245100203002,48,0,32,0,0,70,0,0,16,116,189,104,104,0,28,105
245100203003,39,0,16,82,0,6,26,0,0,13,66,48,82,39,58,119
245100301001,386,76,21,25,33,43,20,40,13,24,15,58,0,0,0,0
245100301002,28,25,46,0,20,40,27,0,29,0,50,0,8,7,20,0
245100302001,98,12,18,12,28,42,0,0,15,24,16,13,71,22,44,48
245100302002,14,47,47,47,42,43,23,8,0,19,11,128,55,32,43,78
245100401001,80,23,0,35,38,48,21,27,87,102,118,66,107,0,75,36
245100401002,330,42,28,95,78,35,98,75,67,214,145,127,77,30,0,0
245100402001,190,4,21,25,38,19,8,0,16,34,37,36,3,0,0,0
245100601001,70,0,0,20,10,0,4,0,0,0,0,26,7,0,0,0
245100601002,41,15,4,0,31,16,53,0,8,32,0,68,35,16,3,13
245100601003,33,15,21,16,14,7,6,0,13,18,16,22,25,7,42,30
245100601004,21,0,6,26,8,8,2,8,0,26,34,16,14,0,0,0
245100602001,18,0,0,0,0,39,19,0,23,0,0,9,14,0,0,0
245100602002,26,34,0,0,0,0,44,17,12,13,0,14,6,5,18,5
245100602003,33,0,10,0,0,8,0,0,20,42,29,83,70,6,42,0
245100602004,22,0,30,31,8,0,0,0,24,93,10,40,24,0,27,25
245100602005,12,41,28,0,8,10,0,6,0,12,34,22,21,0,0,0
245100603001,76,22,0,28,15,15,0,0,18,20,32,25,11,0,0,0
245100603002,21,17,15,25,4,0,11,4,29,34,36,80,51,28,48,31
245100604001,29,8,11,26,0,39,23,6,47,8,0,10,6,35,14,0
245100604002,111,62,24,9,0,27,0,14,0,11,0,21,28,15,12,9
245100701001,95,5,14,11,33,0,0,5,12,21,51,50,11,0,12,0
245100701002,84,16,22,6,20,42,0,58,39,86,23,20,35,5,0,0
245100702001,9,0,26,54,0,0,26,0,0,0,42,0,10,0,0,0
245100702002,0,7,27,8,8,20,11,0,14,11,38,0,7,10,0,0
245100702003,18,46,15,25,10,18,27,17,14,42,18,0,17,0,14,0
245100702004,11,32,50,29,0,0,16,21,0,0,20,0,3,0,0,0
245100702005,75,20,42,23,16,0,7,12,17,0,20,0,0,10,0,8
245100703001,101,15,33,20,2,24,9,0,7,0,0,17,0,0,14,0
245100703002,10,6,0,0,2,21,6,7,0,7,0,0,0,17,0,0
245100704001,3,0,0,0,5,0,4,4,5,0,0,0,0,0,0,0
245100704002,40,30,51,13,10,0,0,0,0,0,0,0,0,0,0,0
245100704003,53,77,14,10,5,38,15,15,8,11,16,6,0,0,0,0
245100801011,23,0,0,11,0,4,13,0,0,30,35,55,9,32,75,11
245100801012,19,9,26,0,28,13,14,8,17,57,21,15,57,38,0,8
245100801013,8,22,53,29,7,0,42,12,24,20,0,52,37,0,0,0
245100801014,21,26,11,66,41,0,12,0,0,23,66,52,22,11,0,8
245100801021,73,16,11,5,5,0,45,30,0,18,26,26,41,0,0,0
245100801022,37,0,0,38,39,42,19,37,12,67,14,25,5,5,12,0
245100802001,4,9,5,25,40,5,26,5,5,12,7,17,4,9,0,0
245100802002,62,0,17,0,0,6,14,0,36,10,23,4,0,0,0,0
245100802003,82,41,14,0,0,11,4,4,0,35,32,0,0,0,0,0
245100803011,11,16,19,0,9,20,0,8,0,0,0,0,0,0,0,0
245100803012,29,29,34,7,11,13,17,0,16,19,24,15,0,0,0,2
245100803013,7,14,36,22,11,31,50,0,4,44,6,15,17,0,0,0
245100803021,24,61,0,0,19,0,20,0,4,21,21,15,25,0,0,0
245100803022,67,17,6,7,19,22,17,0,0,6,9,0,0,0,0,0
245100803023,27,10,53,34,0,86,0,38,0,33,36,0,0,0,0,0
245100803024,198,49,49,47,46,5,0,27,0,10,4,0,16,0,0,9
245100804001,47,6,7,49,62,0,8,47,6,0,0,0,0,0,0,0
245100804002,110,19,8,26,8,14,6,0,0,0,14,36,0,0,0,0
245100805001,17,6,15,19,0,5,4,0,8,0,3,16,0,0,5,0
245100805002,11,12,47,39,0,73,15,23,41,2,30,17,0,0,0,0
245100805003,0,25,17,24,5,0,19,7,0,5,39,20,3,0,0,0
245100806001,36,35,28,20,56,12,0,0,2,0,7,1,0,0,0,2
245100806002,18,12,0,0,11,29,64,4,48,5,12,17,0,0,0,5
245100806003,44,24,16,0,30,0,28,20,0,13,11,11,0,0,0,0
245100806004,48,23,3,11,37,44,0,26,12,6,11,16,0,0,0,3
245100807001,19,53,33,20,5,6,10,0,27,0,5,0,6,7,0,0
245100807002,64,0,12,26,28,0,0,0,0,0,0,0,0,0,0,0
245100808001,11,0,0,0,0,0,65,0,0,11,0,0,0,0,0,0
245100808002,60,52,30,26,11,16,3,3,0,39,21,4,3,0,3,0
245100901001,44,112,32,94,0,0,7,18,0,20,7,9,0,9,26,0
245100901002,7,0,13,0,13,86,24,0,7,49,73,33,5,0,0,0
245100901003,50,9,18,9,22,32,9,31,15,16,15,39,15,16,62,0
245100901004,73,90,44,7,10,13,20,0,48,50,24,28,0,0,0,0
245100901005,36,0,19,9,34,31,10,10,28,40,0,20,36,0,0,16
245100902001,54,9,0,22,34,17,20,88,23,55,38,97,35,39,0,39
245100902002,64,30,24,7,34,12,7,23,7,43,61,230,106,7,22,8
245100903001,0,0,0,0,0,8,31,38,7,11,22,39,100,0,0,3
245100903002,163,117,42,110,19,0,8,0,5,5,22,74,12,0,0,0
245100903003,0,10,0,9,10,0,0,15,8,13,59,82,21,11,52,0
245100903004,81,23,108,71,40,9,42,10,7,54,29,48,119,15,21,0
245100904001,53,8,36,39,68,24,26,6,26,38,14,36,27,0,0,9
245100904002,66,15,58,10,23,24,33,12,6,8,0,7,0,0,0,0
245100905001,13,34,0,38,4,8,15,13,7,13,6,0,11,0,0,15
245100905002,73,20,38,18,33,13,29,96,0,36,31,38,0,17,58,0
245100906001,0,14,0,9,7,0,8,21,9,60,38,19,0,34,0,0
245100906002,65,11,17,44,7,26,0,0,21,17,9,36,11,12,0,0
245100906003,10,0,35,12,22,0,38,0,0,10,8,0,11,0,14,0
245100906004,36,19,19,0,0,58,52,41,39,43,22,10,8,0,0,0
245100907001,99,0,0,12,54,8,13,67,18,49,0,9,14,0,0,0
245100907002,32,9,0,47,10,0,20,0,0,16,0,0,11,22,0,0
245100907003,53,68,18,10,18,0,0,49,16,66,13,40,0,0,0,0
245100907004,17,15,0,0,61,45,10,0,8,9,11,23,9,0,0,0
245100908001,23,10,51,0,0,11,11,10,0,0,8,9,0,0,0,0
245100908002,0,10,26,11,33,0,63,15,14,10,57,0,0,0,15,0
245100908003,35,6,44,45,7,10,13,10,0,0,6,0,10,0,0,0
245100908004,74,61,20,29,9,37,11,0,8,24,71,21,48,0,0,0
